run_id,env,profile,workload,intensity,replica,cpu_pct_avg,mem_rss_avg_kb,io_read_bytes,io_write_bytes,probe_p99_us,throughput,duration_s,timestamp
220,docker,mem-limit,cpu_stress,2,10,99.45,0,0,0,34770.82,795,10,1780857954
221,docker,mem-limit,cpu_stress,2,11,99.47,0,0,0,41468.69,747,10,1780857965
222,docker,mem-limit,cpu_stress,2,12,99.66,0,0,0,34518.88,828,10,1780857977
223,docker,mem-limit,cpu_stress,2,13,99.61,0,0,0,37924.55,711,10,1780857988
224,docker,mem-limit,cpu_stress,2,14,99.84,0,0,0,35959.46,783,10,1780858000
225,docker,mem-limit,cpu_stress,2,15,99.17,0,0,0,39065.58,845,10,1780858011
226,docker,mem-limit,cpu_stress,2,16,99.76,0,0,0,35597.11,736,10,1780858022
227,docker,mem-limit,cpu_stress,2,17,98.55,0,0,0,62902.39,713,10,1780858034
228,docker,mem-limit,cpu_stress,2,18,89.60,0,0,0,398410.60,232,10,1780858052
229,docker,mem-limit,cpu_stress,2,19,96.98,0,0,0,229416.49,222,10,1780858073
230,docker,mem-limit,cpu_stress,2,20,98.78,0,0,0,62919.36,552,10,1780858084
231,docker,mem-limit,cpu_stress,2,21,100.07,0,0,0,58177.14,500,10,1780858096
232,docker,mem-limit,cpu_stress,2,22,98.72,0,0,0,66193.90,474,10,1780858109
233,docker,mem-limit,cpu_stress,2,23,97.84,0,0,0,94394.96,369,10,1780858122
234,docker,mem-limit,cpu_stress,2,24,96.54,0,0,0,88049.69,411,10,1780858135
235,docker,mem-limit,cpu_stress,2,25,98.38,0,0,0,90903.21,459,10,1780858147
236,docker,mem-limit,cpu_stress,2,26,99.16,0,0,0,60639.77,532,10,1780858158
237,docker,mem-limit,cpu_stress,2,27,97.85,0,0,0,70361.61,530,10,1780858170
238,docker,mem-limit,cpu_stress,2,28,107.00,0,0,0,50553.74,609,10,1780858181
239,docker,mem-limit,cpu_stress,2,29,99.61,0,0,0,56867.81,578,10,1780858193
240,docker,mem-limit,cpu_stress,2,30,101.23,0,0,0,124553.17,507,10,1780858206
241,host,none,mem_stress,1,1,0,37952,0,0,524321.98,25,10,1780858238
242,host,none,mem_stress,1,2,0,35057,0,0,418988.82,23,10,1780858250
243,host,none,mem_stress,1,3,0,32580,0,0,574238.30,23,10,1780858261
244,host,none,mem_stress,1,4,0,39893,0,0,703735.67,11,10,1780858272
245,host,none,mem_stress,1,5,0,32442,0,0,695363.04,12,10,1780858283
246,host,none,mem_stress,1,6,0,34939,0,0,459609.06,26,10,1780858294
247,host,none,mem_stress,1,7,0,36054,0,0,687510.13,13,10,1780858305
248,host,none,mem_stress,1,8,0,37062,0,0,343655.20,22,10,1780858316
249,host,none,mem_stress,1,9,0,37084,0,0,509151.95,24,10,1780858327
250,host,none,mem_stress,1,10,0,37972,0,0,400704.14,32,10,1780858337
251,host,none,mem_stress,1,11,0,36815,0,0,338513.55,22,10,1780858348
252,host,none,mem_stress,1,12,0,36353,0,0,540000.23,24,10,1780858360
253,host,none,mem_stress,1,13,0,36808,0,0,484444.68,27,10,1780858371
254,host,none,mem_stress,1,14,0,35340,0,0,367340.18,26,10,1780858382
255,host,none,mem_stress,1,15,0,35452,0,0,308654.33,26,10,1780858392
256,host,none,mem_stress,1,16,0,35619,0,0,546989.56,29,10,1780858403
257,host,none,mem_stress,1,17,0,34936,0,0,800446.64,22,10,1780858414
258,host,none,mem_stress,1,18,0,36112,0,0,537485.80,30,10,1780858424
259,host,none,mem_stress,1,19,0,33096,0,0,436690.29,36,10,1780858435
260,host,none,mem_stress,1,20,0,36217,0,0,386956.62,27,10,1780858446
261,host,none,mem_stress,1,21,0,38794,0,0,358190.56,27,10,1780858456
262,host,none,mem_stress,1,22,0,36422,0,0,437621.23,24,10,1780858467
263,host,none,mem_stress,1,23,0,38313,0,0,190999.14,39,10,1780858477
264,host,none,mem_stress,1,24,0,38668,0,0,296866.00,32,10,1780858488
265,host,none,mem_stress,1,25,0,37041,0,0,357974.54,27,10,1780858498
266,host,none,mem_stress,1,26,0,35957,0,0,297521.54,28,10,1780858508
267,host,none,mem_stress,1,27,0,35427,0,0,426164.56,22,10,1780858519
268,host,none,mem_stress,1,28,0,36028,0,0,382230.70,32,10,1780858530
269,host,none,mem_stress,1,29,0,39454,0,0,589888.69,20,10,1780858542
270,host,none,mem_stress,1,30,0,38222,0,0,641758.94,20,10,1780858553
271,docker,baseline,mem_stress,1,1,0,37463,0,0,348806.40,26,10,1780858644
272,docker,baseline,mem_stress,1,2,0,34376,0,0,247562.33,35,10,1780858657
273,docker,baseline,mem_stress,1,3,0,37065,0,0,177979.27,43,10,1780858668
274,docker,baseline,mem_stress,1,4,0,34976,0,0,187930.68,41,10,1780858680
275,docker,baseline,mem_stress,1,5,0,35548,0,0,233711.84,39,10,1780858691
276,docker,baseline,mem_stress,1,6,0,36844,0,0,198356.00,36,10,1780858703
277,docker,baseline,mem_stress,1,7,0,35645,0,0,533603.87,35,10,1780858715
278,docker,baseline,mem_stress,1,8,0,34554,0,0,271782.89,37,10,1780858726
279,docker,baseline,mem_stress,1,9,0,38839,0,0,160901.69,43,10,1780858738
280,docker,baseline,mem_stress,1,10,0,34332,0,0,142463.89,44,10,1780858750
281,docker,baseline,mem_stress,1,11,0,35962,0,0,157556.29,44,10,1780858761
282,docker,baseline,mem_stress,1,12,0,42285,0,0,179685.82,43,10,1780858772
283,docker,baseline,mem_stress,1,13,0,32386,0,0,185481.80,38,10,1780858783
284,docker,baseline,mem_stress,1,14,0,35953,0,0,240707.20,38,10,1780858794
285,docker,baseline,mem_stress,1,15,0,37387,0,0,246515.82,33,10,1780858806
286,docker,baseline,mem_stress,1,16,0,35270,0,0,272014.28,30,10,1780858818
287,docker,baseline,mem_stress,1,17,0,37743,0,0,284122.77,36,10,1780858829
288,docker,baseline,mem_stress,1,18,0,33044,0,0,169716.03,41,10,1780858840
289,docker,baseline,mem_stress,1,19,0,34858,0,0,288446.18,42,10,1780858851
290,docker,baseline,mem_stress,1,20,0,36555,0,0,185933.26,41,10,1780858863
291,docker,baseline,mem_stress,1,21,0,36267,0,0,169300.29,43,10,1780858874
292,docker,baseline,mem_stress,1,22,0,37170,0,0,230099.52,40,10,1780858885
293,docker,baseline,mem_stress,1,23,0,36958,0,0,252169.20,30,10,1780858897
294,docker,baseline,mem_stress,1,24,0,35924,0,0,249097.91,47,10,1780858908
295,docker,baseline,mem_stress,1,25,0,37306,0,0,196895.39,42,10,1780858920
296,docker,baseline,mem_stress,1,26,0,40653,0,0,193204.98,47,10,1780858931
297,docker,baseline,mem_stress,1,27,0,41961,0,0,311302.24,36,10,1780858943
298,docker,baseline,mem_stress,1,28,0,36427,0,0,365070.53,38,10,1780858954
299,docker,baseline,mem_stress,1,29,0,38657,0,0,176266.96,41,10,1780858966
300,docker,baseline,mem_stress,1,30,0,35190,0,0,146577.77,43,10,1780858977
301,docker,cpu-limit,mem_stress,1,1,0,37181,0,0,536598.88,38,10,1780859028
302,docker,cpu-limit,mem_stress,1,2,0,38863,0,0,231344.17,40,10,1780859040
